,User,Item,Rating
531,A32EJ4MO4UQ5GY,B002BS47YE,5
535,A27WQ0KVF1KXTM,B002BS47YE,1
537,AFCQ78N0GKHRZ,B002BS47YE,5
540,A2XJBI1V3K3PTA,B002BS47YE,4
543,A3BTBIV6N9BZFR,B002BS47YE,4
544,A334T5UDNESVRF,B002BS47YE,5
546,A3MA0A49NGOV74,B002BS47YE,3
551,AWMPNFA6ZBRCF,B002BS47YE,5
558,A3JN2R3DWUF4Q,B002BSC54I,2
563,A3EW2L59UBHQSG,B002BSC54I,5
570,A18NQZS6ETRFKX,B002BSC54I,5
578,AQZH7YTWQPOBE,B002BSC54I,4
582,A2ES7IT00AP3F1,B002BSC54I,4
584,AZFBJPNG5USEL,B002BSC54I,3
589,A119Q9NFGVOEJZ,B002BSC54I,5
591,A378B22B4X5W6I,B002BSC54I,4
597,A14QFQFF3ZX575,B002BSC54I,1
604,A1OM24JT3DAHH5,B002BSC54I,5
609,A1I4QMTVPASKE1,B002BSC54I,5
614,AO9PQQ3KM2Y8T,B002BSC54I,5
618,A2V7C6EIJMPU28,B002BSC54I,5
621,A3SV2HI8DB9F61,B002BSC54I,5
627,A25061YK6RBPG0,B002BSC54I,2
630,AEIITMABXQ10E,B002BU0DPE,5
632,A2SX8PN6ATNHEO,B002BU0DPE,1
635,A27OA5ES0R7FZT,B002BU0DPE,1
649,A26XBYBE01LW8T,B002BU0DPE,3
651,A1TM102EYLRTTF,B002BU0DPE,3
655,A3APED0AO9RUCU,B002BU0DPE,5
670,AL3X4LA0ITZVU,B002BU0DPE,4
672,A5AE89ELRVJOG,B002BU0DPE,1
677,A1XDV4OABSKTES,B002ELCUUG,5
679,A116LFUTJ4UF4D,B002ELCUUG,5
681,A2MOABCP9123B4,B002ELCUUG,5
686,A3ASYTXJ8L0K7G,B002ELCUUG,4
692,A1CMSZGB8VYAY4,B002ELCUUG,5
693,A15ECVRCPSYQ1M,B002ELCUUG,5
697,A21BVAVL2X1WX4,B002ELCUUG,5
698,AAQ0NRWQOD922,B002ELCUUG,5
701,A8VS5379ZV9YV,B002ELCUUG,1
703,A2AEMDWL53LDGB,B002ELCUUG,5
707,A33XG7H4GS2JF0,B002ELCUUG,3
715,A28RTSJ7FKD99W,B002I092MM,5
716,A16M2UB5K6VBFS,B002I092MM,5
719,A17G8RLZHCFIYF,B002I092MM,5
720,A3A0HXE4IULPIM,B002I092MM,4
722,A3C89WADVMXRNL,B002I092MM,5
724,AK1INV8KG5E8W,B002I092MM,5
727,AB1N1IN1JP3E9,B002I092MM,4
728,A1I2SGWF6SHP24,B002I092MM,5
731,A2JX61R7ZLE89B,B002I092MM,5
740,A2W437VMA8PMR,B002I092MM,3
741,A2XIP4MHJ6Q8H4,B002I092MM,4
743,A2Z1A677VGN44U,B002I092MM,4
758,AASU3KMYV0JP7,B002I092MM,4
760,AZ0J176534PON,B002I092MM,5
768,A2MPGUF6GALI7K,B002I092MM,5
772,A2B3FCRI3MEYJU,B002I092MM,5
776,A1PEFBNGZD7AAC,B002I092MM,3
777,A3V761GBN0OEAN,B002I092MM,5
780,A3JBVKDALICNNN,B002I092MM,4
782,AISHP0JWSQJ95,B002I092MM,5
792,AMXJDVI60YD39,B002I092MM,5
794,AHJK8Y7IG1RSE,B002I092MM,3
795,A14FE14GPX0ZKA,B002I092MM,5
797,A11548ZOIDAELN,B002I092MM,5
799,A3306R2G4LHEJV,B002I092MM,4
807,AM8E8MYNQHZR8,B002I092MM,5
810,A28LCLSHNWHAYQ,B002I092MM,5
812,A2ZO6YJ9TQL6M0,B002I08U20,4
814,AYB1N6LV65OQB,B002I08U20,5
816,A3VDR06VNCZQ6J,B002I0H1DY,4
817,AKECTU8MDKBXN,B002I0H1DY,4
818,A3F4HBSBMXGC0S,B002I0H1DY,5
819,A6CSSYERA32AL,B002I0H1DY,5
821,A22DKQT5IHN5RK,B002I0H1DY,5
827,A2I50RON10LEOW,B002I0H1DY,3
830,A3LGWQVSYP4UVK,B002I0H1DY,3
835,A49HB5J3L04SR,B002I0H1DY,5
838,AES15CRBKDDAB,B002I0H1DY,1
839,A2MCTBSIBDYELL,B002I0H1DY,5
840,AKLLE6W7SKTKX,B002I0H1DY,5
850,ADHKG0TCPNG43,B002I0JAJ2,5
855,AEZJTA4KDIWY8,B002I0JAJ2,3
862,AX5CJ7EK7AH22,B002I0JAJ2,5
865,A2PLIC1OHB1TEH,B002I0JAJ2,4
870,A1D696068E7EOU,B002I0JAJ2,1
872,A3CZ51PEAPD0KD,B002I0JAJ2,4
873,A16PSZPYG31SWX,B002I0JAJ2,1
875,A3PM5VDMCEEWTY,B002I0JAJ2,4
877,A2S42FIPJPLJU0,B002I0JAJ2,2
884,AKKX99YYBL1UY,B002I0J82G,4
887,A2GD6F0JBEG5KH,B002I0J82G,3
890,A3F4HBSBMXGC0S,B002I0J82G,5
895,A3XD3EF43QAIL,B002I0J82G,3
897,A2SX8PN6ATNHEO,B002I0J82G,5
901,A1HFGH5NF7Y2KO,B002I0J82G,4
906,ANE5J0N68VX67,B002I0J82G,4
907,A24NHM36GTLOTQ,B002I0J82G,5
908,A27LD3OXBRUK6H,B002I0J82G,3
913,AJDNENP5PN07J,B002I0J82G,2
935,A6KVBHAAA7U10,B002I0J82G,4
936,AW4SW0UXMRHAE,B002I0J82G,4
939,A23SESNRJ2M2NJ,B002I0J82G,4
942,A29GUIQU2C2QWZ,B002I0J82G,1
943,A8EJA4AMJNO6C,B002I0J82G,2
944,ASOADU8C6KBFF,B002I0J82G,3
947,AOA98DNOIPBZG,B002I0J82G,2
951,A2495GSPMJV5DI,B002I0J82G,4
952,A38TJNOJEKZOEG,B002I0J82G,5
954,A26PKRMRF54AJ0,B002I0J82G,5
956,A2Y5XNJIP2085B,B002I0J82G,5
958,A1NAIEOE8B59TG,B002I0J82G,5
960,AHJBQXPBCOU41,B002I0J82G,4
967,A2NDN7ED08JTVT,B002I0J82G,5
970,A1LKZ2UBHSKRT,B002I0J82G,5
980,A1AVANVFF4K9E0,B002I0J82G,2
983,A1VO1ZUXG3PDNH,B002I0J82G,5
989,A3LOAQX4DVQPCS,B002I0J82G,5
993,A15PIAQT55GNCA,B002I0J82G,5
997,A21VLEVIU3WI1O,B002I0J82G,2
999,A1E13YT1L06VZY,B002I0J82G,4
1002,AWUZM5SAHTO0Z,B002I0J82G,5
1010,A3KJLCR9WVIU5R,B002I0K3M0,5
1014,A2FBBAJDEPFEGG,B002I0K3M0,2
1020,A21V09X0R8ZLOE,B002I0K3M0,4
1021,A138OCOYVN8ICU,B002I0K3M0,5
1039,ADY901N4FC3ER,B002V14VOC,4
1043,A1FPJF346KEYU2,B002V14VOC,5
1057,AKS8JNEZ9859I,B002V14VOC,2
1059,A3443SUQ5KMPL0,B002V14VOC,5
1060,A1TV1DJS11RHMK,B002V14VOC,5
1067,AX5CJ7EK7AH22,B002V14VOC,5
1068,A3I4TRHT4G8V2D,B002V14VOC,4
1069,A3VAJFVJMB8RI4,B002V14VOC,2
1073,A3VSEPJ9258H89,B002V14VOC,1
1078,A3BTBIV6N9BZFR,B002V14VOC,4
1081,APGISR9VLHGY1,B002V14VOC,4
1083,A1SZ146MX0801F,B002V14VOC,4
1084,A1WSWGB24SHX9L,B002V14VOC,5
1086,A38LYZ8XVE60IS,B002V14VOC,1
1088,A1EPQH2I9AU02F,B00332F1VA,4
1089,A2KVP1EEPTU1V4,B00332F1VA,4
1100,A1IOTR3KTJHS8R,B0037LTTRO,3
1104,A360QXKTMHPXNS,B0037LTTRO,5
1105,A25Q7AO288ST4G,B0037LTTRO,4
1106,A37P3IV8758KUL,B0037LTTRO,5
1109,AVJZTDXQOT7LV,B0037LTTRO,5
1119,A3C8RQQQV7H9CP,B0037LTTRO,4
1126,A1RQHKZY4DHEJY,B0037LTTRO,3
1130,A2P3IODT8AS365,B0037LTTRO,4
1133,A16ML7RAVORR8X,B0037LTTRO,4
1138,A2H1UKS9Q4DC59,B003ICGL7I,4
1151,A3FP4EJGRZRDJR,B003ICGL7I,5
1155,A2AU2OVD6VT49Z,B003ICGL7I,4
1161,A37I9P028LY6VC,B003ICGL7I,4
1169,A3BTBIV6N9BZFR,B003ICGL7I,1
1173,A3CZ51PEAPD0KD,B003ICGL7I,4
1183,AW0GEWXD1KL0B,B003JVKHEQ,3
1185,AQUVTQFFXP4AC,B003JVKHEQ,2
1186,A1H0MQL1BPXL2L,B003JVKHEQ,5
1196,A30KNYK8TKVYME,B003JVKHEQ,5
1199,A1PBJI0UM664DN,B003JVKHEQ,5
1215,A2S461HX8XCVRK,B003JVKHEQ,4
1219,A2TIGM5XY4VHYD,B003JVKHEQ,5
1230,A3EDQW1A4S74T6,B003JVKHEQ,5
1233,A37WBKCEF2FRJL,B003JVKHEQ,5
1237,A16SXPPD0OA9GK,B003JVKHEQ,2
1239,A2XWHRHI0BIEO8,B003JVKHEQ,5
1244,A19E5QPDOOSQ1M,B003JVKHEQ,5
1246,A10J6K3LQ4EY2W,B003JVKHEQ,5
1249,A2PLW2M7R4BPXI,B003JVKHEQ,5
1250,ARTLDZZ72PL8O,B003JVKHEQ,5
1251,A20WRRHXRVMM4Q,B003JVKHEQ,5
1254,A3ES8MDZQQPHXX,B003JVKHEQ,4
1259,A11JEFCFYWYV4W,B003JVKHEQ,4
1263,A3VMFG8EQBZGHK,B003JVKHEQ,1
1268,AX7ECYFGT3WO1,B003JVKHEQ,3
1271,A1M51UYWPQ4NKZ,B003JVKHEQ,2
1274,A2V4J2Q1RWI7ZE,B003O3EFY2,2
1275,A1A05DMIV6RGP,B003O3EFY2,1
1276,A3VBAU6ZXIQMQ2,B003O3EFY2,5
1286,AUQ253JAMFTRD,B003O3EFY2,5
1299,A2Q62JDZ8AHV6A,B003OPX802,4
1302,A39HDYD1BJ1KRY,B003OPX802,5
1308,A2K4GCBK4B6ZDI,B003OPX802,4
1311,A25Y5ZHHTYO9N4,B003V63V1U,5
1313,A9CBIYEOIRAXZ,B003V63V1U,3
1318,A2WQ0T6RWMDFOI,B00432O4VM,5
1331,A1U8EMDWB4K6AT,B0045ZB66I,5
1332,A1IAQOSPATLKWO,B0045ZB66I,5
1334,A1U554UZF2PS93,B0045ZB66I,1
1336,A2VVCH3IPIZGTW,B0045ZB66I,5
1340,AGXIND08WDJEO,B0045ZB66I,5
1348,A3H8ZDEBC87CH6,B0045ZB66I,5
1350,AXT8TRG5X6E5I,B0045ZB66I,5
1360,A1POB7XZC9BJ15,B0045ZB66I,3
1361,A239YZYK98RUKG,B0045ZB66I,5
1365,A1C37KKSUJWH0H,B0045ZB66I,5
1366,A1FST8NVFWYFTZ,B0045ZB66I,5
1368,A37VPF3JIWMXIJ,B0045ZB66I,1
1372,AQSMM1Z9BEOYT,B0045ZB66I,5
1375,A18UVROHW2QGG3,B0045ZB66I,4
1377,A1P4KUKN2UUEQU,B0047THYWC,1
1378,A1U8EMDWB4K6AT,B0047THYWC,5
1383,AGXIND08WDJEO,B0047THYWC,4
1390,A38CEL1TDGBPWX,B0047THYWC,1
1391,A2UTLOF5A2OTLT,B0047THYWC,2
1395,A2R1CP3XWVQCI8,B0047THYWC,3
1404,A1FST8NVFWYFTZ,B0047THYWC,4
1407,A3CZ51PEAPD0KD,B0047THYWC,2
1408,A37VPF3JIWMXIJ,B0047THYWC,3
1417,A31RWMB7Z6MWCX,B004FS8LYK,5
1419,A328RC4M3JYGPX,B004FS8LYK,5
1423,A1X1C7OE77PGN7,B004FS8LYK,5
1430,A1PB2F0U6WDZUE,B004FS8LYK,5
1432,A1MEISNED4NP7U,B004FS8LYK,5
1442,A1VIZFPC5FDDI5,B004FS8LYK,5
1443,AOZLM9VRG56FZ,B004FS8LYK,5
1452,A30HBMNDEYK15F,B004FS8LYK,5
1459,A2Y04G0YUIFVM8,B004FS8LYK,5
1460,A156X4K26VVDUG,B004FS8LYK,5
1463,A2Z2DFFCHF8K5U,B004FS8LYK,5
1464,A3SLVV9YGGQO3O,B004FS8LYK,5
1465,A2JB3U70NTYSOD,B004FS8LYK,5
1467,ASREZFXN55U2R,B004FS8LYK,5
1476,A9U6356H5V30U,B004FS8LYK,5
1477,A2MUBE1U9Q6Z5Y,B004FS8LYK,5
1483,A1Y4I60II3E0KE,B004FS8LYK,5
1490,A3L8ANRC1XYH8E,B004FS8LYK,5
1495,A2APIVA9LCG8I5,B004FS8LYK,5
1496,A2CJ8K5I8TTP8M,B004FS8LYK,5
1505,A3H1K34ZMLG4K3,B004FS8LYK,5
1506,ADLDCTYS4ZFA4,B004FS8LYK,5
1508,ADHY89E9FS8PB,B004FS8LYK,5
1509,ATUWA2WZG2VNC,B004FS8LYK,5
1517,A1I4QMTVPASKE1,B004FS8LYK,5
1519,A2O3MV8J3R44AD,B004FS8LYK,5
1525,A2Z73SUIBJ0FVR,B004FS8LYK,5
1528,A345B7IXC29H6U,B004FS8LYK,5
1530,A15U64VGUV6RBF,B004FS8LYK,5
1551,A3EPCX4M6IKD85,B004FS8LYK,5
1553,AQSMM1Z9BEOYT,B004FS8LYK,5
1556,A2KQ97V6YSYK3K,B004FS8LYK,5
1563,AZEMV7Z9YDR79,B004FYEZMQ,5
1565,A3I7FWE125WB8T,B004FYEZMQ,3
1567,A37LMYI6J77I87,B004FYEZMQ,5
1568,AIZS7SM0PTT2B,B004FYEZMQ,5
1569,AQUVTQFFXP4AC,B004FYEZMQ,4
1571,A28QX8YTWTJURV,B004FYEZMQ,4
1572,AJJM9NHAGU0HV,B004FYEZMQ,1
1584,A3SFXL2C7VGH7W,B004FYEZMQ,4
1591,A9MTNZTIVBQ4W,B004FYEZMQ,5
1595,A309N4ZMKQZIVT,B004FYEZMQ,5
1600,A1PBJI0UM664DN,B004FYEZMQ,5
1602,A3GZOY9645GDS2,B004FYEZMQ,1
1606,A10Z3FTSP8X91M,B004FYEZMQ,5
1616,A3SCUM7S6L06GE,B004FYEZMQ,2
1619,A3PGRJCO6GEKDY,B004FYEZMQ,5
1624,AA9TDMJMO0C4W,B004FYEZMQ,1
1627,AZFBJPNG5USEL,B004FYEZMQ,1
1633,A1OFBOGSYTGOTI,B004FYEZMQ,1
1641,A3FNF36SELJ49S,B004FYEZMQ,3
1642,A33OBBXZKXOI10,B004FYEZMQ,1
1651,AG3PW23KQ26ED,B004FYEZMQ,1
1657,A3GZZ7O20BZQ94,B004FYEZMQ,4
1662,A219DGT9CE2NL8,B004FYEZMQ,5
1663,ABSYIF0ONC2AF,B004FYEZMQ,2
1675,A3PLQGUMHYPKKF,B004FYEZMQ,1
1678,A1V4JMX16M3JNE,B004FYEZMQ,5
1681,AC6LV5D2RKTIR,B004FYEZMQ,1
1682,A35VJC424AGADX,B004FYEZMQ,1
1683,A1WXNBP36RE8YB,B004FYEZMQ,5
1685,AADUZL9EYDTVB,B004FYEZMQ,5
1686,A5976DS029XE0,B004FYEZMQ,4
1689,A1DNY0KUX9J8JC,B004FYEZMQ,4
1690,AWLIA2WF36I5T,B004FYEZMQ,4
1691,A112CW389PJDA3,B004FYEZMQ,1
1694,A3MZKNG9WMZ3O4,B004FYEZMQ,4
1695,A3BW0UW0WSJD2V,B004FYEZMQ,5
1700,A1JU5Q415NNTRP,B004FYEZMQ,5
1701,A3FY350Q19GO3H,B004FYEZMQ,4
1707,A2UPDLK21I3TGJ,B004FYEZMQ,5
1713,A1MW3DVX0STWK6,B004FYEZMQ,1
1715,A3K1E76NL2E8L0,B004FYEZMQ,1
1717,A2U6A9KZ9IR5VJ,B004FYEZMQ,1
1719,A3LBFWWQGQYV48,B004FYEZMQ,5
1733,A22L9J5BPXKJYN,B004JMQLV2,5
1736,A2GIITIZ1OFK13,B004JMQLV2,4
1738,A29SYALSORG8D5,B004JMQLV2,1
1739,A2D6B85H1HVSI,B004JMQLV2,4
1740,A341EAVW0G9AT9,B004JMQLV2,3
1748,A3UG8KMLBZCDC8,B004RMK57U,5
1750,A12COGFVG1CX2W,B004RMK57U,5
1751,A1VIZFPC5FDDI5,B004RMK57U,5
1757,AO2YGB9BT1XP1,B004RMK57U,5
1758,A3E1UEOPCNV4CD,B004RMK57U,5
1759,AW29MNY1AO5M9,B004RMK57U,5
1767,A3EPEKTBXQIFZN,B004RMK57U,5
1769,A1BU3FLIQNOVDS,B004RMK57U,5
1771,A2APIVA9LCG8I5,B004RMK57U,4
1774,A1AL3R2W7SUME4,B004RMK57U,5
1778,AE6H3RD9YIPV,B004RMK57U,5
1784,A2QY0WD2JLWUKS,B0050SWS8O,3
1791,A3N1OSY8WU5PKR,B0050SWS8O,5
1793,A2TUR0TI2IEOBE,B0050SWS8O,5
1796,AHT34BRYFBFT1,B0050SWS8O,4
1797,A1FKSRD4UEA241,B0050SWS8O,5
1800,AATW2FX0JGHV6,B0050SWS8O,3
1801,A38M8BN5WINWW5,B0050SWS8O,5
1803,A3LG0YEY6IYHUL,B0050SWS8O,5
1809,ANT57Y2XZ2FJ4,B0050SVH18,5
1813,AWLIA2WF36I5T,B0050SVH18,5
1814,A2Z73SUIBJ0FVR,B0050SVH18,5
1820,APDS9UHNY5M15,B0050SZ0JI,4
1821,A3GRCK5JTX4G0Q,B0050SZ0JI,4
1822,A2TUR0TI2IEOBE,B0050SZ0JI,3
1825,A239LPRBX4RJXL,B0050SZ0JI,5
1826,AOA98DNOIPBZG,B0050SZ0JI,2
1828,A9VFS62QSJH2E,B0050SZ0JI,1
1832,A3LSAOIFB9QBR2,B0050SZ0JI,2
1835,A2WO3Q2MIIYNXE,B0050SZD18,3
1836,A1P4KUKN2UUEQU,B0050SZD18,4
1837,A3DNOD30WHJ68N,B0050SZD18,5
1841,A1WYEU2G50O986,B0050SZD18,4
1842,A2OOR605L7T9EB,B0050SZD18,5
1857,A133ILBUNCQ7XO,B0050SZD18,5
1861,A8VS5379ZV9YV,B0050SZD18,5
1865,AFMI9PQA7YUFU,B0050SZD18,1
1868,A1QTS5DRFAMNAA,B0050SZD18,1
1872,AZVI6IZE7IEQT,B0050SZD18,3
1877,AZCCZ3LT2ESKV,B0050SZD18,3
1880,A37LMYI6J77I87,B0050SYAQ2,5
1883,A3DK1IP99G72GL,B0050SYAQ2,5
1885,A3ETZ7QYVUOW1J,B0050SYAQ2,5
1888,AP2OT0IFL4LU8,B0050SYAQ2,5
1890,A32O98PFC3OP7K,B0050SZ836,5
1900,A2Y3CNGYI5PHSJ,B0050SZ836,3
1903,A1FAXD6Q67FZRY,B0050SZ836,5
1905,A3RRKQE3A3WSS2,B0050SZ836,5
1906,A2FNZ1N3I6VF98,B0050SZ836,4
1916,A1N1MUP825WTIY,B0050SZ836,5
1921,AM8ZKRMFXUAI8,B0050SZ836,4
1922,AOA98DNOIPBZG,B0050SZ836,5
1925,A1FNQH4PLIOV3T,B0050SZ836,1
1926,A37I9P028LY6VC,B0050SZ836,5
1928,AD0JSFGDA7M95,B0050SZ836,4
1931,A9VFS62QSJH2E,B0050SZ836,3
1937,A2A26KED39175E,B0050SZ836,3
1944,A2ZC1HYS78L9DF,B0050SZ836,2
1945,A3CZ51PEAPD0KD,B0050SZ836,5
1946,A26Y3RBD87AR78,B0050SZ836,5
1950,A3DIS5O83SQJWW,B0053B5RGI,5
1953,A1FO8H332S134J,B0053B5RGI,5
1967,A22OAU14LKARL,B0053B5RGI,5
1974,A2PHSKJD7E3QXF,B0053B5RGI,5
1982,A1GBT4UN2RW7XY,B0053B5RGI,5
1986,A61A1DDY3D5S8,B0053B5RGI,5
1993,A1LLBSF024FIVK,B0053B5RGI,4
2004,AXRL8HCUAUAIM,B0053B5RGI,5
2006,ASNHK7219WNNN,B0053B5RGI,4
2015,A1GEV4XRR3YJ0F,B0053B5RGI,5
2019,A3S37V0CJUOIQN,B0053B5RGI,5
2025,A24E0EFNJMFII2,B0053B5RGI,3
2029,A1PEFBNGZD7AAC,B0053B5RGI,5
2031,AG7C3PYEUGRNP,B0053B5RGI,2
2035,A7HD7SGI1R937,B0053B5RGI,5
2041,A11548ZOIDAELN,B0053B5RGI,5
2050,A34MF4QY53CAW3,B0053B5RGI,5
2053,A6RPLBIWT5CXN,B0053B5RGI,3
2067,A2A5VYB6647690,B0053BCMAC,4
2070,A1GZDMNFHA1AR2,B0053BCMAC,3
2086,A22C4V6AXZ9PQO,B0053BCMAC,5
2087,A1W5A9VYCE2KFB,B0053BCMAC,5
2089,A5ALR94CTAZ83,B0053BCMAC,5
2092,A19D1D1ITU4XZI,B0053BCMAC,4
2094,A3V761GBN0OEAN,B0053BCMAC,5
2101,AGIW4WE0JYMYW,B0053BCMAC,3
2103,A19DHRJSKYPIJS,B0053BCMAC,3
2108,AWPUYDGJ436ZW,B005C2D2H4,2
2114,A3DTFTBRJ0MI9N,B005C2D2H4,5
2118,A2AU2OVD6VT49Z,B005C2D2H4,4
2120,A3R66N9FR8HMJ7,B005C2D2H4,3
2131,A1WUW4WLCNT82Q,B005C2D2H4,3
2133,A10F5F8M55Z4Q9,B005C2D2H4,5
2134,A10AYT89XSCE46,B005C2D2H4,2
2141,A15PIAQT55GNCA,B005C2D2H4,5
2142,A2QY0WD2JLWUKS,B005EQE0YM,4
2148,A19KUXIRH8Z448,B005EQE0YM,2
2155,A2R39ZGM16HA96,B005EQE0YM,5
2156,A1IAQOSPATLKWO,B005EQE0YM,4
2164,A2PK6JC8ZCP8F9,B005EQE0YM,3
