A3152KT8N27WTF,{98: 5}
A1RF7TBOAPA8D7,"{82: 5, 21145: 5, 400799: 2, 435555: 5, 445110: 5, 451989: 4, 454481: 4}"
A3IQ7VLRDPAI9V,{421: 1}
A3L6HGWR1PNKJZ,"{258: 5, 19304: 3, 370511: 5, 373185: 5}"
AJHH91TGTPDPF,{88: 5}
A78APYADQGNK5,"{629: 4, 214902: 2, 219518: 1, 342181: 4}"
A362FXRESP180E,"{1299: 4, 133324: 4}"
AVQ9VDJUS3CKT,{63: 5}
A23M8B84K9TSBJ,"{63: 5, 23490: 5, 52031: 5, 77339: 5, 83676: 5, 91767: 5, 135659: 5, 156768: 5, 159014: 5, 168152: 5, 284159: 5, 323555: 5, 328228: 5, 328147: 5, 342628: 5, 360872: 5, 377129: 5, 393817: 5, 416998: 5, 420118: 4, 419236: 5, 426121: 5, 454861: 5}"
A1NUAJG5BOA378,{613: 2}
A29I0B84YUM8Y5,"{670: 2, 11768: 1, 89183: 1, 91483: 4, 101163: 5, 173242: 1, 251719: 1, 344577: 1, 363862: 2, 381773: 5, 463663: 5}"
A2S72U81LSDQZ1,{653: 5}
AQFJYKU3MT5VD,"{141: 5, 295920: 5, 421492: 5, 433475: 5, 454709: 5}"
AXS0EVIG782WJ,"{161: 5, 144911: 5, 173052: 5, 307843: 5, 401242: 5, 459774: 4}"
A562UWZ7YJ8XQ,{161: 5}
ASNJOROYOQNGG,"{223: 5, 117076: 5, 210108: 5, 317150: 4}"
AKLZWK8KUQJMF,{223: 1}
A15UI4CJ415XV5,"{33: 5, 254158: 5, 281745: 5, 295521: 4, 459075: 5}"
A2IJ5FLOISRCGX,{33: 5}
A36Z6G7WWYBE1K,{33: 5}
A8XBVAXZ4ZLKJ,"{33: 5, 44546: 2, 182267: 5, 217111: 1, 272459: 5, 321981: 3, 428457: 5, 456714: 2}"
AQB28WLID0YHP,"{209: 5, 16985: 5, 33165: 4, 51522: 5, 74889: 5, 321239: 5}"
A2JIV5X0VCC4P0,"{5: 4, 263400: 4}"
A2P56RVLMIT9FK,{5: 5}
A1QUT6SZA35DP9,{5: 5}
A3I10H5B4NYT29,{5: 5}
ADCO48SVNL3C0,{5: 5}
A2GI2RP9TWIN2V,"{5: 5, 407865: 4}"
A32JDIFH9GW06L,{5: 5}
A276B2P2819GXV,"{5: 5, 235564: 5}"
AMSI8ZFB23OX7,{5: 5}
A2NJON3WENCSOY,"{557: 4, 5149: 5, 51483: 5, 63148: 4, 98495: 1, 103194: 5, 134017: 4, 190139: 4, 206054: 3, 257425: 5, 326111: 5, 337511: 1, 441044: 5}"
A2C43QUPJ3MG4G,"{747: 5, 199027: 5, 221684: 5, 328133: 4, 372393: 4, 388849: 5}"
A3QX0ERX4D03TF,"{341: 2, 2420: 2, 19383: 4, 25859: 2, 35334: 2, 51570: 4, 67878: 4, 67870: 5, 96173: 4, 100909: 4, 107800: 5, 110790: 4, 112637: 5, 121748: 5, 127370: 5, 126490: 2, 133323: 5, 144928: 4, 144955: 3, 157539: 5, 163599: 4, 173122: 5, 173067: 5, 198409: 1, 205422: 4, 207737: 4, 219433: 2, 254395: 4, 254154: 3, 274624: 2, 291257: 5, 291037: 4, 293284: 4, 293248: 5, 293298: 5, 297900: 4, 300172: 3, 300291: 4, 302484: 4, 305040: 4, 304894: 4, 318913: 4, 323538: 4, 367796: 3, 370673: 5, 384383: 4, 386840: 4, 387243: 5, 393574: 3, 393646: 3, 393635: 3, 407635: 5, 409999: 4, 444952: 4, 447336: 5, 459117: 4}"
AXZ8613P5QEBP,"{253: 5, 10175: 5, 221830: 1, 438116: 5}"
A2NYKM2WYFV7PJ,"{870: 4, 145247: 5, 266018: 3}"
A3HGBY7QCHY0BR,"{931: 4, 7216: 5, 128721: 4, 224343: 5}"
A1DWUP9HKFHEOC,"{1052: 3, 35395: 5, 52107: 5, 58409: 5, 147284: 1, 149757: 5, 170628: 5, 191579: 5, 208053: 5, 249699: 5, 284400: 5, 286481: 5, 297932: 5, 304872: 5, 384227: 4, 438031: 5}"
A2851YO8VJE0KF,{26: 4}
A30H0U721RG83Y,"{26: 1, 126596: 4, 147409: 4, 198379: 4, 293253: 5, 360858: 2, 428628: 1}"
AU3LQCLEIU0CI,{26: 3}
A3LDSC9VS3BEZ7,{26: 3}
A34OAYY0RSZQIV,{250: 4}
A20IXDC6LXAAKP,"{1: 5, 16400: 3, 117546: 5, 400727: 2}"
A1AVF90QEZHCYV,"{1: 5, 51483: 5, 205418: 5}"
A2MJRTS2WQEEFB,"{1: 5, 98699: 4, 221712: 1, 309927: 2}"
A39D1C3V8WKDTD,"{1: 3, 2443: 4, 228629: 5, 401050: 5}"
A2V8B2RSH8UQXT,"{1: 2, 426116: 4}"
A29W3B4LGZSU9Z,{1: 4}
A3RUJ67S36EWUG,{1: 5}
A1JCWQB8UJ5UFV,{1: 4}
A2J11TIPED31CN,"{1: 4, 426116: 4}"
AR8QWPDTCUK4C,{1: 4}
A2F0GZMG44L08B,"{1: 5, 177562: 5}"
AKKNWFO8T6YCQ,"{1: 5, 133336: 1, 170501: 4, 401095: 4}"
A1CDLY61VHW14T,"{106: 5, 28126: 2, 79746: 2, 244752: 5, 281865: 5, 286819: 5, 295634: 5, 322328: 5, 386676: 2, 414616: 4, 461754: 5}"
A3S1WSQUGPEZGV,{6: 4}
A2BO19Y1DQJTVT,{6: 5}
A1N2273WXYDE9L,"{34: 5, 23470: 5, 35395: 5, 212473: 5, 318815: 5, 388924: 5, 426116: 5}"
A3UI9L7EBHJOQZ,{74: 5}
A2IX8DHKJKZ8XC,{153: 5}
A2CCUA75PGZCF,{153: 5}
A1WPT4VDVM45P8,{153: 2}
A14NSOWADC7796,{122: 5}
A1S1ALB5Z3CYZL,"{257: 5, 293258: 2}"
A1YJDIN8Q4GZ6O,"{257: 5, 128708: 5, 200800: 5, 226260: 5, 349253: 5, 379419: 5, 449708: 5}"
A1RWHQCLGP7MJJ,"{257: 5, 101003: 5, 124139: 5, 124105: 5, 142649: 5, 244770: 5, 257548: 5, 395931: 3}"
A3QPX90IDDB46Z,{257: 5}
A1Y7WZYOI2K53O,{224: 5}
A1QKSNXSU8E46F,"{79: 5, 170546: 5}"
A1EQQQS10XHITU,{1028: 4}
A19EB66LVY3DLM,"{1028: 1, 73842: 4}"
A1ROYNZMKMZIGW,{154: 3}
A3BTDYLL24AQ9S,{637: 5}
A2DKT3JOXH94GT,"{49: 5, 408191: 5}"
AVQTQQSQCGXYT,"{179: 5, 52108: 5, 56759: 5, 121691: 5, 133543: 4, 247045: 5, 256389: 4, 297963: 5, 356318: 5, 405612: 4, 405677: 4, 420939: 5, 426127: 5, 459176: 5}"
A3URO5I1P2V408,"{205: 2, 182745: 5}"
A2KMD4B32P3UQK,"{1335: 1, 13813: 5, 305027: 5, 358449: 4, 413789: 4, 424279: 5}"
ATZRVC6TXTVBO,{24: 4}
A2W7OJTBKOZ87I,"{24: 5, 412716: 5}"
A1N00FPWFRGMWC,{759: 2}
A2M9CDQV5V0G96,"{543: 5, 68040: 5, 93748: 5, 96990: 5, 105616: 4, 159033: 5, 272571: 3, 395931: 5}"
A37RU05KAAM3KR,"{1168: 3, 96173: 5, 124166: 5, 291211: 5, 351507: 4, 356118: 5, 428437: 3}"
A1EJMTLLVLUJKN,"{38: 5, 351559: 4}"
A3SVW7SPQSRMP1,"{38: 5, 53709: 5, 358450: 5, 400711: 5}"
A11BLV70TJNWK6,{38: 5}
A1GLWEE3XX4GD7,"{38: 5, 28093: 5, 30538: 3, 30746: 5, 77223: 5, 108131: 5, 119731: 5, 150733: 3, 161598: 5, 212593: 5, 240327: 5, 242667: 5, 249534: 5, 288710: 3, 316431: 5, 377164: 5, 398586: 5, 398421: 3, 409984: 1, 416920: 5, 417846: 1, 443503: 5, 447333: 5, 459204: 5, 464076: 5}"
A2O5GQUITUDK6Q,"{163: 1, 54814: 5}"
A2Q6BDCOWO7GM7,"{1636: 5, 84510: 5, 121726: 5, 170904: 5, 311957: 5, 319087: 5, 394105: 5, 414786: 5}"
A1OQ1XO37ESF66,{1636: 5}
A268YDFMKE5G1I,"{1350: 3, 28107: 5, 121974: 5, 163760: 5, 187130: 4, 299082: 1, 379523: 5, 395931: 5, 453748: 1}"
A1K80LPG4QD4PX,"{2353: 4, 84397: 4}"
A1EIU4MVQC2HWL,"{302: 4, 20508: 5, 25898: 5, 91710: 5, 142661: 5, 263726: 1, 340037: 5, 356201: 1}"
A222WJP3SMQFUH,{2164: 2}
A3A2SSXLUPRM76,{147: 5}
A1CWS4T3H6P9X,"{147: 4, 35272: 5, 242398: 2}"
A29N3YIQNLGDJF,"{147: 5, 154906: 5, 228631: 5, 233492: 5, 289055: 5, 321234: 5, 321188: 5, 344468: 5, 365396: 5, 377434: 5, 393623: 4, 421951: 4, 449722: 5}"
ADGTCEHU3M0RZ,{147: 5}
A2D9DSJIH4FRMC,"{403: 5, 21210: 5, 28116: 4, 30724: 4, 32954: 4, 47047: 3, 60726: 5, 72633: 4, 77245: 5, 103266: 3, 112888: 4, 140437: 4, 184678: 5, 187402: 4, 196092: 4, 198407: 4, 221044: 4, 238214: 5, 242445: 5, 263779: 5, 282030: 4, 288755: 5, 302623: 5, 302795: 5, 304790: 4, 323522: 5, 323536: 4, 325836: 5, 330466: 5, 356239: 5, 363259: 3, 363902: 4, 365494: 3, 370398: 3, 370057: 5, 382239: 4, 386485: 4, 386537: 5, 396292: 4, 433634: 5, 435530: 5}"
A2SFV11NCFUO8O,"{238: 5, 140579: 5, 207740: 5, 281955: 5}"
AGXVGGX52R05E,{243: 4}
A2CDKITO901BSI,{624: 5}
A11BT42RGGNFNE,"{829: 5, 67958: 5, 96120: 5, 140672: 5, 175224: 2, 180019: 5, 187028: 5, 190306: 4, 272649: 5, 304930: 5, 459281: 5}"
A1KI6YJMJQ238C,{240: 3}
A1KMUU5R8BSMJT,"{109: 4, 18894: 4, 107967: 3, 158845: 5, 198391: 3, 281802: 5, 295552: 4, 312081: 5, 312880: 5, 393565: 5}"
A8CLB0YPQ1A08,"{109: 5, 42764: 4, 60888: 5, 88746: 4, 114841: 3, 121708: 5, 198391: 5, 212518: 4, 295552: 5, 302822: 1, 339850: 5, 353818: 5, 360849: 5, 372396: 5}"
A70UM913BTB26,"{255: 5, 163629: 5, 225093: 4}"
A22ZZLBL9TM0HN,"{255: 1, 30946: 5, 35518: 5, 44547: 5, 135975: 5, 264025: 1, 349263: 4, 367003: 1, 436711: 5}"
A4S22LQZSTP2I,"{255: 5, 112642: 2, 210108: 5, 367875: 4}"
A2AEHUKOV014BP,{2945: 5}
AUNQSBWP6PSR1,"{4107: 5, 40016: 1, 346932: 5, 388882: 5}"
A1WZF9SNRV1KWL,"{2460: 5, 53992: 5, 289387: 5}"
A816R1TD61R5Q,"{2460: 4, 80411: 4, 113195: 5, 300233: 4}"
AIZWYEWMY94L9,"{2460: 3, 126678: 4, 226450: 4, 237897: 3, 449970: 4}"
AZL3I56K8GD7B,{2828: 4}
A361ZT88MU4NGD,"{2732: 5, 37636: 5, 44775: 5, 69092: 5, 97675: 5, 96191: 4, 135777: 5, 163760: 5, 163926: 5, 196618: 5, 210203: 5, 277142: 5, 284302: 4, 286425: 5, 288723: 1, 291430: 5, 345938: 4, 351045: 5, 353809: 5, 382551: 5, 398736: 5, 419506: 5, 452403: 5, 460068: 3}"
A2PICNZWHEINQC,"{2918: 5, 2756: 4, 4811: 2, 7208: 5, 11763: 5, 25850: 3, 28106: 5, 51483: 5, 53900: 3, 72900: 5, 84366: 5, 97561: 4, 103273: 5, 138013: 5, 149359: 5, 175557: 5, 182276: 5, 185867: 4, 189530: 5, 205432: 5, 207740: 5, 223510: 5, 224025: 3, 237827: 5, 242429: 5, 243442: 5, 270378: 5, 270117: 4, 272456: 5, 274666: 4, 281760: 3, 288907: 5, 290988: 5, 297981: 5, 303096: 5, 307759: 5, 309870: 5, 310243: 4, 321160: 5, 323867: 5, 335195: 5, 344987: 5, 347055: 5, 353847: 5, 358576: 4, 358460: 5, 360812: 5, 365729: 5, 370065: 5, 393562: 4, 405531: 5, 407759: 4, 415910: 5, 426116: 5, 433278: 5, 439216: 5, 437945: 5, 444945: 5, 454378: 1, 456709: 1, 459259: 5, 463908: 5}"
A2TSW7VC2DMTS8,{4630: 4}
A3U1QS8B83ON6W,{2423: 4}
A1S0ATFCSLP5P,"{2423: 5, 293273: 5}"
A1B8ZE1586IVVH,"{2423: 3, 112489: 5, 179894: 5, 288630: 5, 331074: 5}"
A2Q7UAG4DF8VVD,"{2423: 5, 56217: 4, 403252: 3}"
A2L3W95F3KWPP1,"{2423: 4, 96337: 5, 430850: 4}"
AMZB4H4QE0B6Z,{2423: 1}
A4GS5G90ZUP4N,"{3007: 5, 279482: 5, 330527: 5}"
A1TP6K4H5Y5C6D,"{2644: 5, 152314: 5, 154311: 5}"
A5HFHR9C1ZPX0,"{2514: 5, 254129: 2}"
ADJMHTQGB6L2H,{2716: 4}
AKM0FX3BH20V3,"{2471: 2, 21142: 5, 126422: 1, 384145: 4, 435548: 2, 452004: 5, 463651: 1}"
ANZOUSTO4Z0SO,"{2471: 4, 221744: 5, 307179: 5}"
A1TXU309DV96DC,"{2471: 5, 290982: 4}"
A1PZF1UFFN74JE,{2471: 4}
A314I8YV88VWCN,"{2425: 5, 28117: 3, 129237: 5, 184832: 4, 249347: 1, 300271: 4, 403065: 2, 430819: 4, 442639: 4}"
A3S9N80SQBIUR1,"{2425: 5, 4811: 5, 37680: 5, 93761: 5, 96337: 5, 112515: 5, 121700: 5, 121689: 5, 126411: 5, 152073: 5, 214987: 3, 219356: 5, 274967: 5, 297887: 5, 314182: 5, 351780: 5, 426116: 5}"
AXTSBBK4QU3K5,{2425: 5}
AEE0RBF89EJQ8,{2425: 5}
ATXGN857OXQUP,{2425: 4}
A3IEO6SAETAFKY,{2425: 1}
AW88TKDQ1T2CU,{2425: 1}
A12S9NQHYN3HG1,"{2425: 4, 105502: 5, 133322: 1, 389097: 4}"
APMDPZBMEFELS,"{2436: 5, 35295: 5}"
AKXK8SCAT7IM7,"{2436: 2, 279831: 4}"
A1F1A0QQP2XVH5,"{2949: 4, 9504: 5, 17279: 5, 16414: 5, 16658: 4, 21158: 5, 21134: 5, 23456: 3, 27533: 5, 28149: 4, 28318: 5, 28273: 5, 37714: 5, 37677: 5, 37605: 4, 39875: 4, 39910: 4, 39969: 5, 42892: 3, 47616: 5, 49260: 3, 51501: 4, 53734: 5, 54103: 2, 65541: 2, 65557: 5, 72802: 2, 74920: 5, 77687: 3, 79742: 1, 82395: 3, 86906: 3, 91655: 1, 92390: 4, 93898: 4, 96250: 2, 101118: 5, 104197: 5, 105560: 4, 110227: 4, 119427: 5, 126452: 5, 126687: 3, 128730: 2, 133519: 2, 140426: 4, 147374: 5, 149938: 4, 152083: 5, 152137: 5, 152141: 5, 154268: 4, 156585: 5, 156524: 1, 161226: 5, 161190: 5, 165373: 5, 168259: 4, 170679: 5, 175139: 5, 178107: 5, 186933: 4, 186943: 5, 193800: 5, 196343: 4, 198700: 4, 200710: 4, 203154: 5, 205817: 4, 205432: 5, 208202: 3, 207743: 5, 208396: 5, 212693: 1, 217115: 5, 217132: 4, 219388: 5, 223939: 5, 226253: 1, 228607: 5, 228667: 5, 233258: 2, 233276: 4, 235716: 5, 240171: 5, 240244: 2, 244676: 4, 251740: 3, 252372: 5, 254298: 5, 254328: 5, 254214: 3, 254137: 1, 258657: 3, 259312: 2, 258827: 3, 261017: 5, 264956: 4, 265549: 4, 268241: 4, 272343: 5, 274816: 4, 279493: 5, 281756: 4, 281966: 4, 284007: 5, 286562: 3, 288615: 5, 288872: 1, 293249: 3, 293263: 4, 295630: 4, 298806: 4, 301653: 4, 300199: 5, 303379: 4, 304815: 3, 314163: 1, 316532: 4, 316663: 4, 323522: 5, 326103: 5, 326611: 4, 328162: 5, 328120: 4, 328201: 5, 328387: 4, 331302: 5, 330601: 5, 339918: 5, 343504: 5, 344468: 4, 359110: 3, 365401: 4, 368051: 5, 374768: 1, 377192: 5, 377764: 2, 382117: 2, 381782: 4, 384587: 4, 384494: 2, 386854: 3, 388895: 2, 395950: 5, 398671: 4, 407664: 4, 408043: 5, 410441: 4, 414549: 4, 414712: 4, 414630: 5, 416878: 4, 421873: 4, 423756: 4, 426213: 2, 426866: 5, 428576: 3, 428567: 5, 428439: 4, 430787: 4, 431078: 5, 440237: 5, 443485: 4, 444940: 5, 444933: 2, 449849: 5, 449710: 5, 454378: 3, 454466: 4, 454386: 5, 456780: 5, 456744: 5, 459149: 5, 459070: 5, 461711: 2, 461521: 3, 461369: 4, 461638: 4, 461483: 5, 463680: 5}"
A1JQ5S2KII3K68,"{3091: 2, 223984: 5, 316707: 4}"
A179UFC5OZ3P6K,"{2932: 2, 293255: 5}"
A308MZJ0O3OGK3,{2666: 4}
ATVZ6VOJE9O7C,{2454: 5}
ASNG4ZNE5AZF5,"{2454: 3, 31021: 2, 40179: 5, 49859: 2, 117113: 2, 354028: 3, 398539: 2, 419442: 3}"
A28H4CXSXB59Y6,"{2560: 5, 150338: 5}"
A270U1X4Y1CYLF,{2512: 1}
A2A7BRY8M7ZFTX,"{2724: 5, 270234: 5}"
A3M01VYR7WOXJR,{3248: 4}
A2A12QZKX7OETZ,{2870: 1}
A1IC76A39ZT3HX,"{2835: 5, 105559: 5, 144971: 5, 172902: 3, 307152: 5, 372982: 5, 456728: 5, 462332: 5}"
A1BWGN3VXFUQ9X,"{2549: 5, 4879: 5, 72611: 5, 354723: 5}"
AUJX4R15IM69A,{2838: 5}
