AJSQ9H6I2SI8,{53: 5}
A1YPIR5SU8E4S1,"{14932: 4, 17058: 5, 49688: 5, 52385: 4, 65147: 5, 68880: 5}"
A31L1UK16SK5XA,{14963: 5}
A1UERMF354KSET,{14967: 2}
A3TBGVVOA5RTF6,{15084: 5}
A2ZQOCZWZIZ60P,"{15169: 4, 38802: 4}"
A2BBQSPS7CXMX9,"{15171: 2, 26546: 5}"
A2U1ICQ8J2OBDE,{15226: 4}
A3M4EZAK1K4986,{15226: 5}
AVM0NQ0ITQS9C,{15226: 3}
ATCIYUIMB3XCC,{15366: 4}
A3ETEHX2QAXIRX,{15366: 4}
A3DVEBA4YC9CUR,{15425: 3}
AU9WKVIBXVSO,"{15445: 5, 30840: 5, 33148: 5, 48660: 5}"
A36E8QBUFHZQF3,{15450: 5}
A1L1XKNHMXCBBM,{15464: 5}
A2AUONKQ1OD4HT,"{15473: 5, 68621: 5}"
A3T8F7DSYW288F,{15520: 5}
A3BMIVZSIGYYAR,{15555: 3}
A21DGO5HNR0V0D,"{15590: 3, 47790: 2}"
A3SYIF5TDRV9OO,{15632: 4}
A1EUI1YFCSE7C2,{15663: 5}
AYJ9UB0CBI478,{15666: 3}
A15BWBCZ62XU57,{15681: 5}
A1KSFI5H42567D,{15732: 5}
ABE2C5W9NJL7L,{15739: 5}
APHBJ4TMX10R4,"{15814: 5, 59934: 4}"
A2N9M9JFOPMW6Z,{15859: 5}
A1HPH1YY1BZV8J,{15867: 2}
A3BIT9XFXTYVVT,{15903: 5}
A111BV018TH5R0,{15968: 5}
ADVS04J7W5GJN,{16079: 1}
A2EDZGK9Q25AXE,{16173: 3}
A2QV9JPCNL3S6Z,"{16312: 5, 30445: 5, 32512: 5, 32702: 5, 39756: 5, 51989: 5, 56739: 5, 58335: 5, 64354: 5, 66772: 5, 67581: 5}"
A3RAGDOLZ1F1OB,"{16384: 5, 49532: 4}"
A1I7RNQY239V2R,{16542: 5}
A2YLP9MOOZCLNN,{16564: 5}
A1ILOPL3SAH55I,"{16606: 4, 37678: 5, 42336: 5}"
A2D9DSJIH4FRMC,"{16624: 5, 66579: 4}"
A3SU498A37R0KS,{16684: 5}
A3BNCA1FOTDBIS,{16711: 1}
A04768371XWM68DY7D1ZQ,{16814: 2}
A2ZSNAJ679I240,{16889: 5}
A2MFP03IO6TVIT,{16962: 5}
A19ELLOSSUHCAT,{16998: 5}
AS03GL2ZLU98K,{17146: 5}
A3AN922KLRT5AB,{17175: 1}
A3KMKREUKFW2YY,{17186: 4}
ANACL8MCLWFEZ,"{17313: 5, 49961: 4}"
A3MG6W50A24W2T,"{17382: 5, 48949: 5}"
AJEACWTUG3E95,{17455: 3}
AL57G09739JIA,{17498: 2}
AJZWXUIW71092,{17538: 1}
A3S21JKO5A89V,{17592: 1}
A40BPGYBPBFJU,{17597: 5}
A2959AZ2P65C9S,{17634: 5}
AZ47T0G9ASS4E,{17656: 5}
A2Z1QSKEHUPNRT,{17663: 5}
A67XMVAJ2TZPL,{17663: 5}
A1BIGXJDKOYUXR,"{17663: 4, 58335: 5, 66956: 5}"
A12M2YA8KKZTY1,{17663: 4}
A2AIZH368G22SW,{17726: 5}
AKAJIXJ9N1FFK,{18038: 5}
AX1IXCMSETLNK,{18057: 5}
A2CCUA75PGZCF,{18057: 1}
A24X3QKHM8SGFY,{18057: 1}
A3E62ETYO7JOZ8,{18057: 4}
A3RAY6RNZQHU6G,{18057: 1}
A286EG5Q3YH1L8,"{18105: 5, 67370: 5}"
A179E0B9D4Z65F,{18314: 5}
A13HRBF6V8E8K2,{18826: 5}
A313RJPVP8AKC4,{18863: 5}
A2N9S098UA2A1B,"{18876: 5, 29583: 3}"
A2BAP8AY2XINBI,"{18883: 5, 41049: 5}"
ALQSMH8CWB3EI,"{18910: 1, 22971: 4}"
A2YGT6PA3N0VWJ,{19025: 2}
A3L24WM7CWEUGO,{19144: 5}
A3T4BYETVVRIXC,{19178: 5}
AYFM470RZF56L,{19195: 5}
AHJSD182WGBUV,"{19292: 4, 57370: 5}"
A23HFG0EIJ8SAP,{19292: 4}
A39SKP1U6MYLOR,{19377: 4}
A3FIQH8F9UN5IO,{19621: 5}
AJEMXUING477,{19669: 5}
A22WH8TGYZWNG,{19732: 5}
A3CVQOVXNUG0PN,{19733: 3}
A284J9A0E9A8QW,{19773: 4}
A2XNC6UJ41XHWF,{19776: 5}
A1SQR1JBJ56ZK7,"{19776: 5, 26357: 4}"
A1LQO1RRPRR4PR,{20063: 5}
A1HN3VYL002794,"{20096: 5, 54809: 5, 62951: 5}"
A38TDY3CEEVACC,"{20098: 3, 68602: 5}"
ANG3EBVC1S7VM,"{20112: 4, 39188: 5}"
A3QF3ZHK735EBS,{20376: 1}
A5TOC33UFK9PJ,{20459: 5}
A23RC0N6LXYUJH,"{20467: 4, 43003: 5}"
A2JA4PAX9BVB4H,{20498: 1}
A12LZYMD1ERJWA,{20505: 5}
A26DQ201YSP68M,{20505: 5}
A2PHPEA6OTZX2S,{20539: 5}
A17Y354PS9OATV,{20551: 5}
AM3BQN8J3CQP6,{20559: 4}
A142F67BV9ZCVI,{20747: 1}
A1IXSJOBRZAIT3,{20835: 5}
A3NT8X0A4R2JMV,"{20899: 5, 59879: 5}"
A12QCWP4YWIAV6,"{20910: 5, 47677: 5}"
A1J1UWWNAPNTHJ,"{20916: 5, 50357: 5}"
A2LFX1HAKNFY94,"{21002: 4, 52270: 4}"
A1449DKUN8JJC,{21049: 1}
A1PZDP7DHTFHNV,"{21061: 4, 26063: 1}"
AQB28WLID0YHP,"{21165: 4, 35879: 5}"
AQ5JF8BQBFMFF,{21174: 5}
A3V5U3EE48A1BV,{21280: 5}
A3EC483SCE07DC,"{21436: 3, 31060: 3}"
A3NIECA8N59XPC,"{21486: 5, 21817: 1}"
A3RIM2LU1BV6WI,{21754: 5}
A28V9LN0VEF4RF,{22028: 5}
A25L6HIYFOE88L,"{22060: 5, 30203: 5}"
A1G59Q0JM8FTVP,{22074: 5}
A12E2OIZIA73L8,"{22153: 3, 57589: 5}"
A2YPGFDU86H8LK,"{22224: 3, 64863: 4}"
A20CGKF1ANGHJ6,"{22246: 5, 44190: 5}"
A7C7T0SV7KGRD,{22248: 5}
AJHSWLPP29HU3,{22252: 5}
AW6YA6PXH5TV9,"{22340: 3, 44039: 4}"
A22ZZLBL9TM0HN,{22751: 1}
A1NKWZT8LI5SDY,{22830: 1}
A2F6WUM14NORYM,{23146: 5}
ALVX1EZDDX2MQ,"{23165: 5, 36671: 5}"
AQI98XZBWLZYY,{23262: 5}
A3IVTLTWOWDXXC,{23273: 1}
A169ZYI77GT1F3,"{23349: 5, 24230: 5}"
A14BY5XCUJZ3BP,"{23363: 2, 42622: 4}"
A14Z0B1D4ZE5UI,{23469: 5}
A2D17UE7VTFFWA,{23520: 5}
A2E9MRPPV8K4O4,"{23539: 5, 41193: 5}"
A3MLAJONOP2EYB,{23555: 3}
A28U2GNCTIRBJK,{23677: 5}
A27QC91QUMSO17,{23683: 4}
A23F730XFBDPQY,{23718: 5}
AQ4O5V9G2O0GF,"{23806: 5, 66722: 5}"
AWV50HOATTDRS,"{23814: 5, 69897: 5}"
AP5N41KWW21WL,{23911: 1}
A31N3YFZIMUXBW,{23917: 1}
A10Z12GG4QRHH0,"{23920: 5, 37323: 5}"
A33L59328TNKXR,"{23966: 5, 40956: 5}"
A14NOPLBKSM8I3,{24022: 5}
AHTH1HDDUGOK9,{24073: 5}
A2V39I8MTWX7Q6,{24492: 5}
A31TAC5Z15RK2K,"{24605: 3, 29929: 5}"
A4APF2BR0LWMA,{24610: 1}
A1I3GZDWW1PSQL,{24673: 5}
A299I7E6ZBTOAU,{24793: 5}
A2H7KDG7S7YZ0T,{24801: 5}
A132LT43ZJ1U5W,{24866: 5}
A1QEA4T3NHWRHB,{24956: 4}
AS3ENIX20K6HA,{24968: 3}
A3VHF0K9BV6U9T,{25081: 5}
A296DKPYE20CH1,{25402: 1}
A3K7BY9W5GUGB7,{25467: 1}
A21VM9WVF8EOSJ,{25529: 1}
AOGH5JMIBTQBA,"{25597: 5, 50846: 2}"
A10YAQAMK4BBMU,"{25640: 3, 35604: 5}"
A2LXAE8RZ2DLPS,{25704: 4}
A29K4FT5B49MSX,{25731: 5}
A1MA2L3YEXNGU6,{25754: 5}
A1HSGUUHN53Z6M,{25779: 5}
A4VK1KAIO8SD0,{25805: 5}
AL9TLVN19TLN7,{25826: 3}
AEC1M24XVINSG,{25921: 5}
A135HU9AIOP9M8,{25990: 1}
A2J0QU3RYSIR1P,{26020: 4}
A2UIHYXK9TZRXZ,{26046: 5}
AXKTDB1PJ7HK,{26138: 4}
A38N21CX5JOGQ3,{26138: 5}
A2QJ4WOGBD3JB6,{26138: 5}
A2ZG1ZMC3LYUXZ,{26166: 5}
A1LY57930JMFGR,{26166: 3}
A396FW979MVZVG,{26171: 3}
A2YJ9A1K33KX3W,{26344: 2}
A2CJZIYTG2VQ5M,{26356: 5}
A1ZI9Y0WUSB6QZ,{26546: 5}
A2AYIYHER20V3D,{26606: 5}
A35AWG98E86DT1,{26696: 5}
AD9J4ZXGPC76P,{26794: 5}
A1Z5IBM6Q2ZD6M,"{26991: 4, 57778: 4, 63564: 5, 64535: 3}"
AFENXDBVPXHDK,{27170: 5}
A3GM97JEGB0FT2,"{27228: 5, 56051: 5}"
A921BQNIL8E58,"{27315: 1, 44167: 5}"
A2TFKD0F1O5DYZ,{27570: 4}
A3HBGKNLMJNKE9,{27616: 5}
A3702AI22T81E0,"{27658: 5, 64824: 5}"
A2V8437L9MS25C,{27843: 4}
A3W2ABNREVNRW7,{27906: 4}
A2KEX9X3H9FSQI,{27971: 5}
A1J4LBJAFHX1R3,{28014: 1}
A3S7E7I2XHNH3L,"{28040: 5, 55502: 5, 67279: 5}"
A2DFE6NF5W9LYI,{28057: 1}
A3C75RD2WFDT7U,{28130: 5}
AU4XBHCLBYSXI,{28328: 5}
A32E0R69D9ZQ6J,{28350: 5}
A20AP70ZN00LJ9,"{28361: 5, 62318: 5}"
A2TCPSI6542MIW,"{28498: 5, 28965: 5}"
A2S6ZMNOZTK01D,{28512: 4}
AIUJP69Y5XYPT,{28633: 1}
A1ZOW63QE3HUSP,"{28696: 5, 33671: 5, 69680: 5}"
A32RUEGHLGQDV4,{28751: 5}
A3CVICWDICZ2IJ,{28764: 4}
A2YR3B0BPXLSEF,{28766: 5}
A2BTXMBULE8L9K,{29050: 5}
AWKZAUC0D8DYL,{29178: 5}
A23I6SUCSFJNG6,{29312: 5}
A20EYCDRHJ7VKP,{29323: 5}
AYI34KJ53MSA1,"{29675: 1, 55786: 4}"
A2EI4T5YBKF6G4,{30090: 3}
A3P5HXU2V7XI4L,{30183: 5}
A2NJEJ0M4LQHJT,{30205: 5}
A1JA10I11VP3YS,{30390: 5}
A27GTMTRZ1H28P,{30462: 5}
A38A6NKAMKPAHL,{30462: 5}
A3VYCWBO41LI0R,"{30545: 4, 40646: 4, 43019: 4, 68090: 4}"
AY1YR7RMPIC61,{30555: 5}
A2X2YYNELBCECS,"{30611: 5, 50020: 5}"
A3IIM90OO0T06R,"{30683: 3, 37988: 5, 64719: 5}"
A2CLLT41FWXWR6,{30813: 1}
A27ASS73BE783D,{30821: 5}
A37IK1X41TRX3T,{30914: 5}
A3HOH7JKVNXLSU,{30953: 5}
A1UDBZQSDPICDR,{31164: 4}
A2N2RW3YML1C5W,{31204: 5}
A3K1G3N34FV5M6,"{31326: 5, 58625: 3}"
A29D0R0K7O2AAE,{31408: 5}
A1905ALINAWBTX,"{31449: 5, 48636: 5, 69217: 5}"
A2GYB8SO5XWE6S,{31682: 5}
A3LRE2SMZAS7O9,{31786: 5}
A2NIB5KSPN1P57,{31836: 5}
AANRJREZ74LT1,{31865: 5}
A22PC42ET764GM,{31946: 1}
ABW68OIWFRRGY,{32046: 5}
A10AGM547Y35VY,{32078: 5}
ASG2V8PNF529,"{32098: 5, 33221: 5, 48289: 5, 60879: 5}"
A21BUMGNV9JRM9,{32100: 5}
A1NGL6OJ949V2H,{32238: 5}
A29ZK197CQPCWT,{32498: 5}
A4DGKV8HZBCEP,{32636: 5}
A3DV2N533KU3B8,"{32884: 5, 59577: 4}"
A270WLVA1DJXFS,{32884: 5}
A3BDG8CFEB58T,"{32891: 5, 38384: 3}"
APKMFUX2CFYCP,{33038: 5}
ACBVQ7MVHKJA2,{33059: 5}
A3OFUUZEIECC54,{33082: 5}
A6BN63B08EK79,{33148: 5}
A1UOEUNQ6VYY4L,{33148: 5}
A1AQRQKWLLASLE,{33186: 3}
A1JX98RO32B5JH,{33292: 5}
A3O60C5513YYD6,{33361: 5}
A3QXKJJODE7PTN,{33573: 5}
A2KU16Y85WUHJ2,{33574: 5}
A2TUMLRMA1TYNN,{33588: 5}
A2IUZKJO8G637D,{33839: 5}
A29D9FZBSWDAPM,{33941: 5}
A34HP4S9DVGPN0,{34004: 5}
A2676NQZJOVVY2,{34015: 5}
ART1DZNWZ9VKS,{34289: 5}
ALDDQ9R769BYK,"{34293: 5, 35779: 1}"
ADZRWVARG6IBC,"{34322: 5, 39425: 5, 64961: 5}"
A1GG073P7BNNZQ,{34330: 2}
A1D4S3RQX6E66H,{34339: 1}
AHAS13C270SIW,{34346: 4}
AJAZN8AOFXOMI,{34528: 5}
A1545Q9IIF5THD,{34528: 5}
A1T34UT98AGUHN,{34536: 5}
A2TUB44DETL7CY,{34547: 1}
A1DH3LZOS3B3Y6,{34559: 2}
AE4S2J18UGK68,{34570: 5}
A14AYL2TIRLIMO,{34570: 4}
A11IOM6CRWQS7A,{34582: 1}
A1T26AZSCAZ0OL,{34615: 5}
AY43XII1VJK72,{34857: 3}
A16PMVMZZ2LRYF,{34860: 5}
AOMVQBX6AEKO9,{35053: 5}
A1O2VBNT2GWIQO,"{35154: 3, 69874: 5}"
A2DTXS9R6MJV78,{35232: 1}
A1OTN4X6M20GQJ,{35299: 4}
A10UYANBHEH07W,{35347: 3}
A1DAGYWF6U9ZR3,{35348: 5}
A3EMC22NWYVIDT,{35650: 4}
A197M5GGZQAUF9,{35667: 4}
A3B95GPSECAW75,{35680: 5}
AFDAC176QC2EX,{35754: 5}
A1ZSYBOST9MUKG,"{35757: 4, 68597: 4}"
A251RNU9WAVA5F,{35801: 1}
A2OU0H0K7GMA1L,{35805: 5}
