A2HLOMXD15UQ5F,"{2509: 5, 291734: 5}"
A3BBCDCHC5U1VK,"{393: 2, 18631: 3, 21328: 4, 26579: 4, 100982: 5, 111181: 3, 129739: 4, 140110: 4, 150514: 3, 211104: 4, 234523: 4, 237246: 2, 254241: 2, 261742: 5, 265137: 3, 267550: 5, 279267: 4, 290721: 5, 303473: 4, 303944: 4, 308486: 5, 312881: 5, 328575: 5, 333756: 4, 336384: 3, 358491: 3, 375797: 5, 384724: 5, 416431: 3, 439427: 4, 446950: 4, 478980: 4, 491350: 4}"
AJZOEXD0ZC52R,"{2585: 1, 387418: 5}"
A35A6Q3B2QTTDU,"{398: 4, 37664: 5, 263766: 5, 454727: 4, 481528: 5}"
A313YFDIFTUZ4U,"{2586: 5, 26378: 5, 43544: 5, 58896: 5, 88258: 5, 131013: 5, 135321: 5, 172183: 5, 178642: 5, 196439: 5, 219548: 5, 229745: 5, 259199: 5, 295177: 5, 373290: 5, 376239: 5, 390657: 5, 437313: 5, 440208: 5, 445078: 5, 479232: 5, 482101: 5}"
A3M1NAYJGSXAK,"{433: 1, 474198: 1}"
A11VLAOHLM7T7R,"{433: 4, 322539: 5, 354884: 5}"
ADNVX1NVCF3J8,"{447: 5, 475998: 4}"
A10KFV763ZTT0T,"{447: 5, 45291: 5, 140053: 5, 147871: 5, 169014: 5, 178290: 4, 307548: 5, 320602: 2, 362634: 4, 367841: 4, 373204: 5, 378737: 4, 442008: 5, 454850: 5, 473337: 5, 473509: 5, 512882: 5, 520690: 5}"
A1SW7P73Z8BUUJ,"{471: 5, 79961: 5, 109122: 4, 213660: 5, 219573: 5, 286685: 4, 318380: 3, 325941: 5, 342022: 4}"
AH65J3T86URKP,{501: 5}
A347YYQI2YXNK2,"{527: 5, 61325: 4, 166398: 4, 392372: 4}"
A3NFD14CCJP999,"{527: 2, 53774: 5}"
A22M0MSO4NU1UP,"{532: 5, 185452: 4, 287629: 5, 292603: 5, 355556: 2, 381730: 4, 394478: 3}"
A6P6IKVPOKZYM,"{539: 1, 35273: 1, 94237: 5, 98625: 5, 214484: 4}"
A23NPHO7PI3U09,{552: 1}
AXH44VIP5BBGI,"{569: 5, 174960: 2}"
A2MEI9VQDW8T2M,"{622: 5, 121992: 5, 283349: 4, 372564: 1, 409238: 5, 421212: 5}"
A6EVOUGH5HPW2,"{630: 5, 119330: 5}"
A2AK92OV7QLUGP,"{672: 5, 61150: 4, 77765: 4, 79564: 5, 160568: 5, 179905: 4, 212151: 4, 240257: 5, 250598: 5, 271406: 4, 287761: 4, 288160: 5, 399457: 4, 483932: 5, 505100: 5}"
A1GT3T0ZCJ172T,"{672: 5, 203705: 5}"
AY585CQU0LKHF,"{673: 5, 521559: 1}"
A28QPZ6QXANQ0S,{682: 5}
AF3SHIJQ7OC5I,{687: 3}
AS9ZEF564HNJ3,{2630: 1}
A1KOHVL6PFZCSZ,"{2633: 2, 47496: 1, 312769: 1, 323418: 5, 331599: 4, 386418: 4, 486216: 5, 500248: 4}"
AIV7KW542Y5GS,{718: 1}
AJSQ9H6I2SI8,"{721: 5, 136434: 5, 139949: 3, 151984: 5, 163779: 4, 206834: 5, 209860: 2, 237396: 5, 255539: 5, 348373: 5, 426866: 5}"
A2HC5J58W6VSWQ,{721: 5}
A1GL7EI046DBAG,"{765: 3, 19303: 3, 45218: 4, 195361: 4, 358187: 4, 473672: 2, 490454: 4}"
A1IZO8OB24YD7W,"{2637: 5, 71139: 5, 73904: 5, 89809: 5, 284057: 5, 496823: 5}"
A2ICW5OUWX2A2V,"{2637: 1, 5253: 4, 18264: 4, 21106: 3, 37043: 2, 42289: 4, 44819: 5, 50040: 5, 52707: 4, 68423: 1, 76431: 4, 86940: 2, 95042: 5, 105588: 5, 118785: 5, 118846: 1, 129285: 4, 144978: 4, 150389: 4, 152833: 2, 158156: 5, 171320: 3, 176546: 3, 184414: 3, 189613: 3, 194869: 5, 197862: 5, 205549: 4, 208192: 5, 213415: 3, 218573: 3, 229055: 5, 247457: 5, 250141: 4, 263153: 4, 275952: 5, 289145: 2, 299642: 1, 312557: 5, 317900: 4, 325659: 4, 338681: 4, 349187: 5, 349191: 1, 351999: 2, 372955: 2, 396588: 4, 396625: 3, 401754: 4, 401811: 2, 407040: 3, 407052: 3, 409745: 4, 436131: 3, 446620: 2, 457288: 3, 465087: 5, 494096: 3, 518030: 5, 523082: 5}"
A1CSTZL9244X8C,"{2637: 3, 18461: 4, 34377: 4, 95151: 4, 147754: 5, 192395: 4, 208348: 5, 229192: 4, 299642: 5, 320589: 4, 525889: 2}"
AAXCVZ59UDRMQ,"{2640: 4, 55465: 4, 95140: 4, 494127: 3}"
A1THAS6M64YVLC,"{2640: 5, 37119: 4, 58056: 5, 299642: 5, 302263: 5, 351999: 5, 404487: 5}"
ABW14J07LJRI6,"{2640: 3, 205738: 4, 383505: 5, 441539: 5}"
ANO26R0XO8S9Z,{784: 5}
AYBZM0W0RFWB,{784: 4}
A3Q2H0SNKR1N9,"{784: 5, 22909: 5, 71107: 4, 81878: 3, 150295: 5, 175951: 4, 268430: 5, 430839: 5, 462631: 4, 478146: 3, 521407: 2}"
AI1QC8PSEEJ7A,{784: 5}
A3B50JJFROYNOZ,"{787: 5, 68441: 4, 349614: 5, 518255: 4}"
A25IZQ3PTJYLMR,"{802: 2, 481663: 5}"
AWCO1MAELHKSE,"{802: 5, 21526: 3, 139374: 3, 190914: 5, 248242: 4, 268676: 4, 305264: 5, 308403: 5, 442442: 4}"
A2U3JZCS7Q78D7,{811: 1}
A1QKLAJP3S42ZQ,"{830: 5, 15049: 5, 156436: 5, 481791: 5}"
A14F0LMRJBESKO,"{847: 5, 214487: 5}"
ANU2CCQLJL2Z3,{847: 2}
A146341JYZ86CY,"{863: 1, 130748: 5, 229252: 5, 239118: 5, 270150: 5, 466371: 5}"
A2067BMGW21UYX,"{872: 5, 54567: 4, 96282: 4, 378775: 5}"
A6WD0ZUPSVRG8,{893: 4}
AMDVAQ7I7BEUY,{895: 5}
A1FV9E94AS7B13,"{911: 1, 8783: 4, 29890: 2, 85994: 5, 167043: 1, 322386: 1, 345868: 1, 405614: 1}"
A15L3O4W12CDXT,"{2659: 5, 46163: 5}"
A11HLGBVKSPXYP,{930: 5}
ANUZBFZ47HWST,"{953: 5, 76712: 4, 103652: 5, 127392: 4, 287223: 4, 305785: 4, 321533: 4, 331458: 4, 402337: 3, 423672: 4, 427230: 5, 439822: 4}"
A37FS5IV0QET4H,"{2669: 5, 269111: 5, 290835: 5, 357271: 3}"
A7WZ9X6N9VFDX,{1051: 3}
A2WI3FLM5PYJT9,"{1054: 5, 20616: 5, 138084: 3, 138987: 5, 215543: 5, 316360: 4, 358991: 5, 367289: 4, 408702: 5, 455088: 5, 469174: 5, 475006: 4}"
AQ0GOR2NKHGGE,{1060: 2}
A2ZVNM8J2Q4HQT,"{1060: 3, 24088: 4, 29260: 4, 35388: 4, 42645: 4, 74156: 5, 77672: 3, 92677: 5, 108570: 5, 124192: 5, 145389: 4, 147874: 5, 147901: 5, 152853: 4, 211060: 4, 221535: 5, 238230: 2, 255602: 5, 290971: 5, 323496: 5, 346792: 5, 363648: 2, 365549: 5, 367861: 5, 383948: 4, 409706: 5, 415224: 5, 425771: 5, 460234: 5, 470615: 5, 505189: 5}"
A3KCK2QDOMKFZ7,{1060: 5}
A32YAXL3O24T5Q,"{1060: 5, 402903: 5}"
A3CMO6EORUNEYQ,"{1060: 5, 39983: 5, 309122: 5, 339668: 2, 344133: 5, 389219: 4, 411063: 2, 476024: 5, 479885: 4}"
A3DQWFWINN3V5A,"{1060: 5, 2977: 3, 34249: 3, 32060: 4, 35513: 5, 36732: 4, 37388: 3, 68715: 4, 74263: 4, 79342: 5, 81913: 5, 89654: 3, 87493: 5, 98196: 4, 105851: 5, 112190: 3, 118772: 3, 118275: 5, 121647: 4, 125104: 3, 140510: 5, 147299: 5, 150239: 3, 151473: 5, 155961: 5, 157060: 5, 171303: 4, 174233: 5, 174519: 5, 176678: 5, 189608: 1, 192851: 5, 195672: 3, 200233: 4, 216274: 2, 219411: 3, 236145: 2, 243186: 3, 245618: 4, 252679: 2, 250604: 4, 255302: 3, 273871: 5, 294579: 5, 297448: 5, 299951: 5, 308219: 5, 346838: 2, 346896: 5, 349496: 4, 362390: 1, 399171: 1, 400669: 3, 408046: 5, 414925: 4, 414210: 4, 417782: 5, 417865: 4, 422735: 3, 428097: 2, 447024: 4, 447492: 5, 452967: 4, 454957: 5, 464146: 2, 465528: 5, 489794: 4, 525756: 3}"
A1JUPBMZVV0HDO,{1060: 4}
A2UF6IIYLXWRQE,{1060: 3}
A11N5KYBZ21F1F,{1060: 5}
A3EZ1ASVAY4J9I,"{1060: 5, 81487: 5, 93874: 4}"
A2QJN0MOI06C6P,{1082: 1}
A12LGTRO6MO87T,"{1089: 4, 314114: 4}"
A3ASZMTEHBEL9Z,"{1089: 4, 15804: 5, 214660: 5, 500249: 4}"
A3LWHOLBP06K55,"{1090: 4, 193439: 5, 201914: 3, 205216: 5, 209516: 3, 257486: 5, 274168: 2, 304087: 3, 311242: 4, 484616: 5, 519452: 5}"
AUYXVI79B0L6Q,"{1108: 4, 11058: 5, 58609: 5, 106209: 5, 153204: 2, 176844: 5, 299761: 4, 355698: 5}"
A2F6JB05GNXHSJ,{1113: 5}
A2JV0V7R8B0658,"{1118: 5, 14690: 3, 24594: 1, 32443: 5, 165659: 1, 185333: 5, 241105: 1, 304059: 1, 408264: 5, 408551: 1, 474293: 5, 503594: 5}"
A1GXT1ET0HUQDB,"{1154: 5, 86133: 5, 234712: 5, 258554: 5, 261274: 1, 288246: 5, 516919: 5}"
A2Q6MBFZF9ZN1D,"{1154: 4, 266732: 5, 360476: 4}"
AMKSEECBTLQJ9,"{2680: 4, 18471: 5, 105668: 5, 291837: 5, 441539: 5, 475623: 5, 488779: 5}"
A104YAKHAH4NY9,{1189: 1}
A3IOTT0G1358D4,{1190: 3}
A36E8QBUFHZQF3,"{1209: 4, 41925: 5, 58417: 1, 104792: 5, 115561: 5, 196439: 5, 201959: 4, 220039: 4, 224788: 5, 280275: 2, 329528: 5, 390256: 5, 404763: 4, 416430: 5, 474504: 4, 487468: 5, 520617: 5}"
A11ATL9U1DO1MU,"{1210: 3, 57495: 5, 83966: 5, 292040: 5, 327673: 2, 394908: 5, 421936: 1, 514340: 5}"
AEXBAM4P8EJTL,"{1226: 3, 506361: 2}"
A14VQIYQ9AE59H,"{1237: 2, 174958: 5, 209019: 5}"
AIS6Y7ZLPM243,"{1237: 5, 11254: 4, 51438: 5, 66646: 5, 104949: 4, 116691: 5, 144030: 5, 199801: 5, 216626: 5, 230056: 5, 322484: 5, 329238: 4, 349492: 5, 437521: 5}"
A2A0GEYH0YYSD0,{1251: 1}
AU87N4ABUD5X4,"{1264: 5, 72562: 4, 127329: 4, 132005: 5, 207327: 5, 247611: 5, 276062: 3, 336431: 5, 338789: 5, 360553: 5}"
A1RF7TBOAPA8D7,"{1297: 5, 26023: 5, 454044: 2, 493699: 5, 504178: 5, 512082: 4, 515080: 4}"
A3IQ7VLRDPAI9V,{1315: 1}
A3L6HGWR1PNKJZ,"{1316: 5, 21830: 3, 419652: 5, 420336: 5, 473099: 5}"
AJHH91TGTPDPF,{1345: 5}
A78APYADQGNK5,"{1370: 4, 234415: 1, 243122: 2, 249671: 1, 318093: 1, 387731: 4}"
A362FXRESP180E,"{1390: 4, 151128: 4}"
A23M8B84K9TSBJ,"{1436: 5, 10437: 5, 26673: 5, 58570: 5, 87756: 5, 93207: 5, 103748: 5, 110844: 5, 153796: 5, 177401: 5, 179843: 5, 191137: 5, 312546: 4, 321185: 5, 338733: 5, 341364: 4, 365959: 5, 370623: 5, 371160: 5, 386361: 5, 407112: 5, 409238: 5, 425771: 5, 444912: 5, 457243: 5, 470554: 5, 473460: 4, 474589: 5, 481200: 5, 513469: 5}"
AVQ9VDJUS3CKT,"{1436: 5, 236997: 5}"
A1NUAJG5BOA378,{1447: 2}
A2Q0FK4P3BAVUZ,{2698: 5}
AU7IVMXRSQI6K,"{2701: 5, 12492: 5}"
A29I0B84YUM8Y5,"{1466: 2, 14163: 1, 101684: 1, 104457: 4, 114740: 5, 196755: 1, 285064: 1, 389529: 1, 411709: 2, 431781: 5, 525588: 5}"
A2S72U81LSDQZ1,{1483: 5}
A4LBMTSJVWKS5,"{2704: 5, 2716: 5, 5118: 4, 13125: 4, 15091: 5, 44874: 5, 44992: 5, 56352: 5, 72612: 5, 77516: 5, 126397: 4, 129874: 5, 131587: 3, 139949: 5, 160199: 5, 169155: 2, 170316: 4, 222526: 5, 248804: 3, 271057: 5, 275790: 5, 288502: 5, 301502: 5, 315523: 5, 320575: 5, 323275: 4, 380877: 5, 395620: 5, 400791: 5, 409455: 5, 428251: 5, 436255: 3, 461349: 4, 478238: 1, 478271: 5, 500713: 5, 513609: 4}"
A3JL7MUMNZX6L1,"{2704: 2, 434080: 1}"
AQFJYKU3MT5VD,"{1514: 5, 335654: 5, 477687: 5, 490932: 5, 514989: 5}"
A562UWZ7YJ8XQ,{1533: 5}
AXS0EVIG782WJ,"{1533: 5, 163904: 5, 196010: 5, 346821: 5, 454340: 5, 519821: 4}"
AKLZWK8KUQJMF,{1543: 1}
ASNJOROYOQNGG,"{1543: 5, 133008: 5, 238533: 5, 359117: 4}"
A2IJ5FLOISRCGX,{1554: 5}
A36Z6G7WWYBE1K,{1554: 5}
A15UI4CJ415XV5,"{1554: 5, 288949: 5, 319674: 5, 334796: 4, 519838: 5}"
A8XBVAXZ4ZLKJ,"{1554: 5, 2708: 5, 52126: 2, 207593: 5, 246276: 1, 309278: 5, 364169: 3, 485049: 5, 516913: 2}"
A1NUFMGVMNU2J6,"{2708: 5, 37897: 4, 145430: 5, 186254: 5, 211999: 5, 231854: 4, 259973: 5, 289774: 4, 294476: 4, 318352: 5, 382762: 5, 435564: 3, 496248: 5, 516913: 4}"
A6AG0QU0UO7QO,{2708: 5}
AQB28WLID0YHP,"{1565: 5, 18681: 5, 37897: 4, 59687: 5, 85667: 5, 157719: 4, 267180: 5, 363998: 5}"
A3LOJ4CN7FT1Q0,{2709: 5}
A32JDIFH9GW06L,{1569: 5}
ADCO48SVNL3C0,{1569: 5}
A3I10H5B4NYT29,{1569: 5}
A2JIV5X0VCC4P0,"{1569: 4, 268464: 5, 299261: 4}"
A276B2P2819GXV,"{1569: 5, 266688: 5}"
A2P56RVLMIT9FK,{1569: 5}
A2GI2RP9TWIN2V,"{1569: 5, 461186: 4}"
AMSI8ZFB23OX7,{1569: 5}
A1QUT6SZA35DP9,{1569: 5}
A2NJON3WENCSOY,"{1607: 4, 5806: 5, 31610: 5, 59903: 5, 71832: 4, 111632: 1, 116900: 5, 150762: 4, 214103: 4, 232252: 3, 250174: 3, 289976: 5, 296978: 5, 302231: 5, 304828: 5, 368409: 5, 383055: 1, 497067: 5}"
A2C43QUPJ3MG4G,"{1639: 5, 225027: 5, 251081: 5, 371220: 4, 421449: 4, 439070: 5}"
A3QX0ERX4D03TF,"{1682: 2, 4823: 2, 21552: 4, 29345: 2, 40253: 2, 58954: 4, 77146: 4, 77998: 5, 109422: 4, 115157: 4, 122207: 5, 125394: 4, 127220: 5, 137284: 5, 142644: 5, 143756: 2, 152314: 5, 164597: 4, 165617: 3, 178566: 5, 185382: 4, 195891: 5, 196296: 5, 224714: 1, 232987: 4, 234868: 4, 248085: 2, 288248: 4, 288445: 3, 312488: 2, 329888: 5, 330309: 4, 331754: 4, 332648: 5, 332698: 5, 336674: 4, 339668: 3, 339930: 4, 341769: 4, 344865: 4, 345170: 4, 361624: 4, 366976: 4, 392677: 4, 415772: 3, 419811: 5, 434686: 4, 437726: 4, 437971: 5, 445044: 3, 445605: 3, 445996: 3, 462314: 5, 463220: 4, 503819: 4, 505502: 5, 519103: 4}"
AXZ8613P5QEBP,"{1706: 5, 11815: 5, 251689: 1, 496328: 5}"
A2NYKM2WYFV7PJ,"{1711: 4, 165161: 5, 300336: 3}"
A3HGBY7QCHY0BR,"{1712: 4, 8431: 5, 145237: 4, 254473: 5}"
A1DWUP9HKFHEOC,"{1727: 3, 41008: 5, 59996: 5, 66312: 5, 167880: 1, 169487: 5, 193208: 5, 216374: 5, 235205: 5, 282637: 5, 320729: 5, 324526: 5, 336595: 5, 344440: 5, 434340: 4, 494958: 5}"
AU3LQCLEIU0CI,{1796: 3}
A2851YO8VJE0KF,{1796: 4}
A30H0U721RG83Y,"{1796: 1, 142827: 4, 166392: 4, 225125: 4, 332306: 5, 408987: 2, 484335: 1}"
A3LDSC9VS3BEZ7,{1796: 3}
A34OAYY0RSZQIV,{1804: 4}
AKKNWFO8T6YCQ,"{1813: 5, 150722: 1, 194314: 4, 453691: 4}"
A2V8B2RSH8UQXT,"{1813: 2, 481879: 4}"
A20IXDC6LXAAKP,"{1813: 5, 19411: 3, 133256: 5, 453467: 2}"
A2MJRTS2WQEEFB,"{1813: 5, 111902: 4, 251666: 1, 350528: 2}"
A1AVF90QEZHCYV,"{1813: 5, 59903: 5, 232037: 5}"
A39D1C3V8WKDTD,"{1813: 3, 4545: 4, 258599: 5, 453736: 5}"
AR8QWPDTCUK4C,{1813: 4}
A29W3B4LGZSU9Z,{1813: 4}
A1JCWQB8UJ5UFV,{1813: 4}
A2F0GZMG44L08B,"{1813: 5, 201844: 5}"
A2J11TIPED31CN,"{1813: 4, 252820: 5, 481879: 4}"
A3RUJ67S36EWUG,{1813: 5}
A1CDLY61VHW14T,"{1832: 5, 33422: 2, 90244: 2, 276837: 5, 318762: 5, 324951: 5, 334103: 5, 364023: 5, 437718: 2, 469095: 4, 521642: 5}"
A3S1WSQUGPEZGV,"{1845: 4, 502136: 3}"
A2BO19Y1DQJTVT,{1845: 5}
A1N2273WXYDE9L,"{1857: 5, 27652: 5, 41008: 5, 241411: 5, 361484: 5, 439927: 5, 481879: 5}"
A3UI9L7EBHJOQZ,{1859: 5}
A14NXULTNR1SBC,"{1860: 2, 134044: 5, 170530: 5, 196494: 5, 309795: 5, 402164: 3}"
A2IX8DHKJKZ8XC,"{1860: 5, 208197: 5, 412236: 5}"
A1WPT4VDVM45P8,{1860: 2}
A2CCUA75PGZCF,"{1860: 5, 134431: 1}"
A14NSOWADC7796,{1868: 5}
A1YJDIN8Q4GZ6O,"{1883: 5, 147346: 5, 228559: 5, 257094: 5, 396145: 5, 429938: 5, 508992: 5}"
A1RWHQCLGP7MJJ,"{1883: 5, 115581: 5, 140031: 5, 142024: 5, 162723: 5, 263320: 5, 278305: 5, 290481: 5, 447369: 3, 483567: 5}"
A1S1ALB5Z3CYZL,"{1883: 5, 332665: 2}"
A3QPX90IDDB46Z,{1883: 5}
A1Y7WZYOI2K53O,{1891: 5}
A1QKSNXSU8E46F,"{1911: 5, 194341: 5}"
A19EB66LVY3DLM,"{1973: 1, 83669: 4}"
A1EQQQS10XHITU,{1973: 4}
A1ROYNZMKMZIGW,{2014: 3}
A3BTDYLL24AQ9S,{2017: 5}
A2DKT3JOXH94GT,"{2032: 5, 462012: 5}"
AVQTQQSQCGXYT,"{2035: 5, 15804: 4, 60120: 5, 65445: 5, 138626: 5, 152224: 4, 280722: 5, 289461: 4, 337402: 5, 402466: 5, 458212: 4, 459105: 4, 475148: 5, 481953: 5, 518988: 5}"
A3URO5I1P2V408,"{2075: 2, 206204: 5}"
AWKZAUC0D8DYL,"{2722: 5, 5301: 5, 7084: 5, 19568: 3, 44684: 5, 67705: 5, 109468: 5, 125104: 5, 148539: 5, 183711: 5, 189095: 5, 215959: 5, 250165: 4, 299562: 5, 310035: 5, 328396: 4, 332753: 5, 341514: 5, 404434: 5, 458190: 5, 470356: 5, 512821: 5, 522141: 4}"
A2KMD4B32P3UQK,"{2081: 1, 15588: 5, 345356: 5, 405633: 4, 467351: 4, 480499: 5}"
A2XU7TQZOXO07W,{2723: 1}
A2W7OJTBKOZ87I,"{2103: 5, 465902: 5}"
ATZRVC6TXTVBO,{2103: 4}
A1N00FPWFRGMWC,{2113: 2}
A2E3LXRKRF8SRH,"{2728: 5, 158435: 5}"
A1WEJU1G5Q3IT2,"{2728: 5, 151473: 5, 209148: 5, 235089: 3, 258462: 5, 321083: 5}"
A2M9CDQV5V0G96,"{2133: 5, 79036: 5, 107343: 5, 109978: 5, 119990: 4, 179571: 5, 309351: 3, 447369: 5}"
A37RU05KAAM3KR,"{2135: 3, 109422: 5, 142283: 5, 328858: 5, 398140: 4, 402967: 5, 485026: 3}"
A1EJMTLLVLUJKN,"{2140: 5, 398518: 4}"
A3SVW7SPQSRMP1,"{2140: 5, 61680: 5, 406018: 5, 453031: 5}"
A11BLV70TJNWK6,{2140: 5}
A1GLWEE3XX4GD7,"{2140: 5, 33730: 5, 35388: 3, 36885: 5, 88225: 5, 123787: 5, 135243: 5, 147802: 5, 169652: 3, 182570: 5, 241308: 5, 250187: 4, 271481: 5, 274726: 5, 282406: 5, 327714: 3, 356827: 5, 427894: 5, 450522: 5, 450556: 3, 463173: 1, 471012: 5, 472263: 1, 478179: 5, 500838: 5, 505738: 5, 519175: 5, 523452: 5}"
A2O5GQUITUDK6Q,"{2141: 1, 60789: 5}"
A2Q6BDCOWO7GM7,"{2198: 5, 97096: 5, 137642: 5, 193726: 5, 353159: 5, 360816: 5, 445672: 5, 469626: 5}"
A1OQ1XO37ESF66,{2198: 5}
A268YDFMKE5G1I,"{2205: 3, 32254: 5, 138797: 5, 184880: 5, 211591: 4, 337192: 1, 428753: 5, 447369: 5, 510569: 1}"
A1K80LPG4QD4PX,"{2234: 4, 95677: 4}"
A1EIU4MVQC2HWL,"{2246: 4, 10613: 2, 22662: 5, 29892: 5, 105190: 5, 162924: 5, 298837: 1, 320665: 3, 341503: 1, 385060: 5, 391589: 5, 402325: 1, 433551: 1, 441526: 5}"
A222WJP3SMQFUH,{2249: 2}
A29N3YIQNLGDJF,"{2263: 5, 175514: 5, 259199: 5, 264218: 5, 326668: 5, 363648: 5, 364032: 5, 390218: 5, 414014: 5, 427127: 5, 445090: 4, 476910: 4, 508064: 5}"
A1CWS4T3H6P9X,"{2263: 4, 41211: 5, 275796: 2}"
ADGTCEHU3M0RZ,{2263: 5}
A3A2SSXLUPRM76,{2263: 5}
A2D9DSJIH4FRMC,"{2269: 5, 24308: 5, 33537: 4, 35025: 4, 38223: 4, 53923: 3, 69463: 5, 83137: 4, 87069: 5, 88984: 5, 118131: 3, 123942: 5, 128538: 4, 159971: 4, 186946: 5, 194861: 5, 210249: 5, 213003: 4, 222263: 4, 225985: 4, 248555: 4, 270313: 5, 275319: 5, 298255: 5, 318941: 4, 328061: 5, 342242: 5, 342328: 5, 345515: 4, 367687: 5, 366284: 5, 366813: 4, 368843: 5, 374163: 5, 403644: 5, 411332: 3, 411648: 4, 413842: 3, 418571: 3, 418736: 5, 433292: 4, 437681: 4, 437829: 5, 447863: 4, 473054: 3, 490873: 5, 492899: 5, 493925: 4}"
A2SFV11NCFUO8O,"{2273: 5, 160431: 5, 234523: 5, 319916: 5}"
AGXVGGX52R05E,{2314: 4}
A2CDKITO901BSI,{2320: 5}
A11BT42RGGNFNE,"{2347: 5, 78032: 5, 108990: 5, 159608: 5, 197802: 2, 203190: 5, 212761: 5, 213801: 4, 309293: 5, 345858: 5, 519630: 5}"
A3380Y6GYG1ZWA,{2366: 3}
A1KI6YJMJQ238C,{2368: 3}
A1KMUU5R8BSMJT,"{2389: 4, 23099: 4, 123596: 3, 181164: 5, 226181: 3, 319844: 5, 335974: 4, 352156: 5, 352983: 5, 444450: 5}"
